name,interests
Julie McLeod,"education, gender, youth, history of education"
Jungwon Kim,"Ultrafast optics, Ultrafast lasers, Frequency combs, Microwave photonics, Optical metrology"
Steve Cayzer,
Peter J Bentley,"Evolutionary algorithms, genetic algorithms, artificial immune systems, robots, simulation"
Roland Gl√ºck,fail
Rik Sengupta,"graph theory, algorithms, combinatorics, complexity theory"
Jonathan Lenchner,"Computational Complexity, Combinatorial & Computational Geometry, Robotics"
Phokion Kolaitis, logic in computer science"
Ronald Fagin,"applications of logic to computer science, database theory, finite model theory, rank and score"
Simon Santschi,fail
Marco Leandro Carmosino,"Computational Complexity, Meta-Complexity"
Adrien Guatto,fail
Olivier Togni,"Graph theory, networking algorithms and protocols"
Vincent Rahli,"Type Theory, Constuctive Logic, Proof Assistants, Formal Verification, Distributed Systems"
Hamida Seba,"Graphs, Networks, Graph Learning, Massive data"
≈†imon Schierreich, algorithmic game theory
Aliaa AA youssif,"Pattern Recognition, Artificial Intelligence, Multimedia"
Michal Dvorak,
Vladimir Anashin,fail
Ashraf M. Mohy Eldin,fail
Antonis Achilleos,"Logic, Complexity, Runtime Verification"
Elli Anastasiadi,"theoretical computer science, verification, logic"
Claude Kirchner,
Mahdi Ali-Akbari,"Topology, Domain Theory"
Massoud Pourmahdian,"Mathematical Logic, Model Theory, Theoretical Computer Science"
hari Cohly,"autism, Consciousnes, hydrogen gas production, rust removal"
Raphael D. Isokpehi,"Microbiology, Bioinformatics, Cancer Informatics, Universal Stress Proteins, Aquaporins"
Gus Gutoski,"Quantum information, complexity theory, cryptography"
Nataliya Kostyuk,fail
Ashish Tiwari,"Formal Methods, Program Analysis, Hybrid Systems, Decision Procedures, Systems Biology"
Dr Adil Hussain,"Molecular Biology, Plant Disease Resistance, Nitric Oxide signalling"
Chintamani Bagwe,"Fintech, Compliance, Regulations"
Sajjad Salim Issa,family and community medicine
Daniel Luckhardt,"metric measure spaces, Riemannian manifolds, Gromov-Hausdorff convergence, category theory"
Jui-Hsuan Wu,"Proof Theory, Programming Languages"
Tomohiro Koana,"Algorithms, Parameterized Complexity"
Elise Harrington,"Planetary Geology, Geology, Remote Sensing"
Lito Goldmann,fail
Leon Kellerhals,"Algorithmic Fairness, Computational Sustainability, Computational Social Choice"
Amit A. Kulkarni,"Microbiome, Clinical trials, Precision Oncology, Immuno Oncology"
Mitsumasa Ikeda,"stochastic differential equation, stochastic hybrid system, model checking, formal methods"
Prasad Samudrala,"Low Power Wireless, Internet of Things, Cyber Security, Embedded, AIML"
Alexander R Dixon,"Quantum Cryptography, Quantum Key Distribution, Quantum Information, Complex Systems"
Arun Anil,"Discrete Mathematics, Graph Theory"
Manoj Changat,"Discrete Mathematics, Convexity"
Joseph Justin Mulvey MD PhD,"Nanomedicine, fullerenes, immunology, chemistry, coagulation"
Yamini Muralitharan,fail
Noriaki Hashimoto,"Medical image analysis, Computer vision, Machine learning"
Joshua Burke,General Surgery
Kausal Malladi,fail
Sridhar Nonavinkere Srivatsan,"Clinical Bioinformatics, Transcriptomics, Alternative Splicing, Cancer Research, Data Viz"
Koichi Oshima,
Jun Sakuma,"Machine Learning, AI Security, Data Privacy"
Zhentao Li,"Coal seam gas, Gas sorption and transport behavior"
Miyoshi Hiroaki,
Nicolas Delfosse,"Quantum computing, Quantum error correction"
Jose Paulo Santos,Physics
Zahid Akhtar,"Machine Learning, Cybersecurity, Deepfakes, Computer Vision, Affective Computing"
Jan Frans Willem Slaets,fail
Lirio Onofre Baptista de Almeida,"Instrumenta√ß√£o eletr√¥nica computacional, neurobiofisica, weakly field electric fish, invertebrate vision"
Fanny Pascual,
Nabila Majeed,fail
Rafael Tuma Guariento,
David Rene Rodr√≠guez D√≠az,"Educaci√≥n M√©dica, Enfermedades Infecciosas y Tropicales, Inmunolog√≠a, Investigaci√≥n Cient√≠fica, Salud P√∫blica."
Anil Nelakanti,fail
Severino Matias Alencar,"Natural products, Phenolic compounds, Antioxidant activity, Bioaccessibility and Bioavailability, Mass Spectrometry"
Anil kumar singh,"Manas Roga, Psychosomatic Disorders"
Ravindranath Chowdary C,"Applications of AI, Information Extraction, Recommender Systems, Text Summarization, Web Mining"
Max ZhiXiang Huang,"Lithium ion batteries, Battery safety, Material Science"
Bangqi Zheng,fail
Kai Yang,
Xiangyu Zhang,"Neural Network Architectures, Efficient Deep Learning, Computer Vision"
Dongdong Wang,"Natural products, Cardiovascular diseases, Diabetes, Drug development, Molecular mechanism"
Gao Junjie,computational materials
liang li,Medicine
Ichiro Takeuchi,"Combinatorial materials science, device physics"
Yulei Chang ÔºàÂ∏∏Èí∞Á£äÔº?"Professor, CASÔºà‰∏≠ÂõΩÁßëÂ≠¶Èô¢ÈïøÊò• ‚Ä?
Jiahui (Chris) Wu,
Xiang Chen,"multi-objective complementary control and ‚Ä? robust control, control of autonomous"
Zejia Lu,fail
Laure Soulier,"Information retrieval, natural language processing, machine learning"
Benjamin Piwowarski,"Information Retrieval, Machine Learning, Computational Linguistics"
Basile Van Cooten,fail
Yuxuan ZONG,Information retrieval
Mathias Vast,fail
Theodora Varvarigou,
"Alexandros Psychas, PhD","semantic web, internet of thing, Cloud Computing, Distributed Systems"
Fotis Aisopos,"Service Oriented Architectures, Artificial intelligence, Biomedical informatics, Social Networking"
Andreas Menychtas,"Service Oriented, Cloud Computing, Big Data, mHealth, IoT"
Krzysztof Rzadca,"cloud computing, distributed systems, scheduling"
Angelos Valsamis,
Jiawei Wang,Protein Crystallography
Francesco Dibitonto,"deep learning, computer vision, multimodal learning, model optimization"
Laura K. Taylor,"Children and youth, prosocial behaviors, empathy, peacebuilding, intergroup conflict"
Lianmin Zheng,"Systems, Machine Learning, Compiler"
Asghar Ghasemi,"Nitric oxide, Hydrogen sulfide, Diabetes, Reference values, Scientific Writing"
Xiaoxun Zhong,fail
Yiheng Su,
Mohamed Yacine Hammoudi,Fuzzy systems - Observers - Nonlinear ‚Ä?
Ting-Peng Liang,"Electronic commerce, knowledge management, service innovation, strategic IS, Intelligent systems"
Michael Rawson,"automated reasoning, machine learning"
Jakob Rath,
Robin Coutelier,"Logic, Automated reasoning, Automated theorem proving, SAT"
Guillermo Toyos-Marfurt,fail
Petr Kuznetsov,"Distributed computing, fault-tolerance, synchronization"
Fuyudi Zhang,fail
Mohammad Al Johmani,fail
Celine Thermann,
Ron Mittler,"ROS, stress, plant, cancer, signal transduction"
David Gajser,fail
Tiago Guerreiro,"HCI, Accessible Computing, Pervasive Healthcare, Human-Centered AI"
Marcin Luckner,"Pattern Recognition, Classification, Geographic Information System, Big Data, Data Science"
Jo√£o P. Montrezol,"Machine Learning, Artificial Inteligence, Image Classification, Image Processing, CNNs"
Maciej Grzenda,"machine learning, data preprocessing, industrial applications, Big Data architectures"
Stevo Rackovic,Machine Learning
Frederico Metelo,fail
Lia Morra,"Machine Intelligence, Computer Vision, Medical Imaging, Computer Aided Diagnosis"
Andr√© Panisson,"machine learning, artificial intelligence, complex networks, data science, social networks"
Anouar Nechi,"High-Performance computing, AI, FPGA"
Wadid Foudhaili,Emedded Systems HW/SW co-design for HPC ‚Ä?
Dmitry A. Fishman,"light-matter interactions, nonlinear optics, nanophotonics"
Fabio da Costa Garcia Filho,Materials Science and Engineering
Joonas Ariva,Computer Vision
Dmytro Shvetsov,fail
Muneo Hori,applied mechanics
Maddegedara Lalith,fail
Alessandro Ricci,"Agents and Multi-Agent Systems, Programming Paradigms"
Andrea OMICINI, Software Engineering
Samuele Burattini,"Digital Twins, Multi-Agent Systems, Web of Things, Human-Computer Interaction"
Giovanni Ciatto,"Logic Programming, XAI, Artificial Intelligence, Software Engineering, Multi-agent Systems"
Martina Baiardi,
Saleh Mulhem,"Trustworthy electronics, Secure Computing, and Hardware Security"
Mladen Berekovic,"Computer Architecture, DSP, Embedded Systems, Low-Power"
Jessica Rivera Villicana,"Artificial Intelligence, Machine Learning, BDI, Player Modelling, Interactive Storytelling"
Zinovy Diskin,"model driven engineering, mathemtical models, formal semantics"
Rainer Buchty,fail
Nic Velissaris,fail
Subhashish Banerjee,"Open quantum systems, quantum information, quantum field theory, qu thermodynamics, quantum optics"
Abhinav Nakarmi,fail
Anita sharma bhatia,"green chemistry, fly ash, solid acid catalyst, green concrete"
Mahabir Prasad Jhanwar,Cryptology
Prashant Agarwal,
vasudha bhatnagar,"Data Mining, Machine Learning, Big Data Analysis, Network Analysis"
Kabir Tomer,"Cryptography, Computational Complexity, Quantum Cryptography, Quantum Complexity"
Swagata Duari,"Text Analytics, Graph Analytics, NLP, Data Mining"
Masafumi Hagiwara,fail
Vincent Gripon,"Deep Learning, Few-Shot Learning, Artificial Intelligence"
Tsuyoshi Ichimura,fail
Quentin Jodelet,Incremental Learning
Rafik Hadfi,"Artificial Intelligence, Multiagent Systems, Social Simulation, Game Theory"
Carlos Eduardo Vasco Uribe,"Did√°ctica del lenguaje y las matem√°ticas, Educaci√≥n matem√°tica en la educaci√≥n ‚Ä? Argumentaci√≥n en lenguaje y mate"
Fran√ßois B√©nard,"Nuclear medicine, positron emission tomography, cancer imaging, breast cancer, receptor imaging"
Christian Wallraven,"Multisensory Processing, Virtual Reality, Face Perception, Facial Expressions, Classification"
Stefan Schubert,
Sara Pohland,"controls, optimization, machine learning, robotics"
Claire Tomlin,
Tony Lindgren,Data science
Bj√∂rn Browatzki,"Facial Image Processing, Medical Image Analysis, Computer Vision, Machine Learning, Deep Learning"
J√∂rn-Philipp Lies,"Computational Neuroscience, Visual System, Natural Image Statistics"
Martino Alessandrini,"Medical Imaging, Segmentation, Motion Estimation, Image Restoration"
Luigi Di Stefano,"Computer Vision, Machine/Deep Learning, Image Processing"
Marco Boschi,computer vision
Jo Inge Arnes,fail
Nieves Montes,"artificial intelligence, multiagent systems, norms"
Ilkka T√∂rm√§,"cellular automata, symbolic dynamics, automata theory"
Randi V Karlsen,
Michal Kawulok,"image processing, pattern recognition, computer vision"
Johannes J. Pienaar,fail
Patryk Kuban,fail
Anna Sergeevna Bosman,"neural networks, swarm intelligence, fitness landscape analysis, loss landscapes, deep learning"
Aron Henriksson,Natural Language Processing
John Pavlopoulos,"Machine Learning, NLP, Data Science"
Korbinian Randl,Explainable Machine Learning in NLP
Jindrich Matousek,"Speech Synthesis, Speech processing, Artificial Intelligence"
Daniel Tihelka,"speech synthesis, signal processing, natural language processing, artificial intelligence"
Jan Leheƒçka,
Ralf Raumanns, multi-task learning
Gerard Schouten,"AI, Machine Learning, Software Engineering, Supporting Transitions with AI and Data, Biodiversity"
Josien P. W. Pluim,fail
Veronika Cheplygina,"meta-research, pattern recognition, machine learning, medical imaging, open science"
Arman Rahmim,"quantitative imaging, molecular imaging, personalized cancer therapy, radiomics, inverse problems"
Daniel Giraldo-Herrera,"Operatiosn Research, Logistics, Production"
Tommaso Benacchio,"Numerical Weather Prediction, Computational Fluid Dynamics, Numerical Methods, High-performance computing, Fault tolerance"
Luca Bonaventura,"Geophysical fluid dynamics, Scientific Computing, Mathematical Physics, Asymptotic Analysis"
GIUSEPPE ORLANDO,
Yongbing Huang,fail
Zehan Cui (Â¥îÊ≥ΩÊ±?,"Computer Architecture, Memory System"
Jiutian Zhang,fail
Mingyang Chen,Computational Chemistry/Materials
Ryan KC Yuen,"Genomics, Genetics, Whole genome sequencing, Tandem repeats, Neurological disorders"
Mingyu Chen,Biliary Tract Cancer
Tianyue Lu,fail
Cheng Li,"3D genomics, systems biology"
Yanan Wang,"Quantum Photonics, NEMS/MEMS, 2D Materials, Wide-Bandgap Materials"
Amirhosein Toosi, Medical Image Processing
Rebecca Adams,"aging, friendship, music communities, Deadheads"
"Sara Harsini, MD, MPH","Medical Imaging, Molecular Imaging, Positron Emission Tomography, Radiology, Nuclear Medicine"
Jicheng Guo,"Molten Salt, Electrolysis, Materials Science, Optical Fibers, Machine Learning"
Octavio Arriaga,Machine Learning
Yungang Bao,"Computer Architecture, Computer System"
Mohammad Rajabi Nasab,"Smart Grid, Grid Flexibility, Power System Transients"
Sagnik Sen,"Vitreoretinal surgery, Anti-VEGF, Vascular diseases, Uveitis, Artificial Intelligence"
PAULA DANIELE PAVAN,"An√°lise do Discurso, Comunica√ß√£o, Rela√ß√µes P√∫blicas, Educa√ß√£o, Cultura Digital"
Clara Marcille,Graphs
Tapas Kumar Das,"Astrophysics, Theoretical Physics, General Relativity, Dynamical Systems"
Jan M. Baetens,fail
Aisling J. Daly,"mathematical modelling, population dynamics, spatial models, biodiversity measurement"
Odemir Martinez Bruno,"Discrete Dynamical Systems, Data Science, Nonlinear Science, Fractals, Pattern Recognition"
Michiel Rollier,"Cellular automata, Complex networks, Artificial intelligence"
Arthur Zimek,"Data Mining, Outlier Detection, Clustering, High dimensional data, Ensemble Methods"
Tobias Hyrup, Artificial Intelligence
Anton D. Lautrup,"quantum information, generative modelling, artificial intelligence"
Prof. Dr. Dietlind Z√ºhlke,Interpretable Machine Learning
Matthias Gro√ü,fail
Marcin Maleszka,"knowledge management, collective intelligence, knowledge diffussion, opinion formation"
Mohamed A Farag,
Jorge Pedro Sousa, Teoria do jornalismo
Fernando A. Rojas-Ruiz,"Petrole√≥mica, Quimica Org√°nica, Comportamiento de fases, sintesis quimica"
Jose Luis Perez Velazquez,"Neuroscience, Biochemistry, Biophysics"
Roberto Antonio Becerra Garc√≠a,"inteligencia artificial, machine learning, procesamiento digital de se√±ales"
Rodolfo Garc√≠a Berm√∫dez,"signal processing, ica, machine learning, biomedical"
Camilo Vel√°zquez-Rodr√≠guez,"machine learning, software engineering, optimisation"
Pierre Baudot,"Information Theory, algebraic topology, Machine Learning, Artificial Intelligence, neuroscience"
M. Emre Sahin,"High Performance Computing, Quantum Computing, Machine Learning"
Frank Kirchner,"artificial intelligence, robotics, machine learning, Human-Machine-Interface, walking robots"
Anton Bernatskiy,
Thomas Warford,"machine learning, atomistic simulation, machine learning potentials, materials discovery"
Sebastian Houben,"Real-time Computer Vision, Trustworthy AI"
Kononov Alexander (–ö–æ–Ω–æ–Ω–æ–≤ –ê–ª–µ–∫—Å–∞–Ω–¥—Ä –í–µ–Ω–∏–∞–º–∏–Ω–æ–≤–∏—á),
Davide Rattacaso,"Quantum information theory, Many-body physics, Inverse problem, Hamiltonian learning"
Medina Taylor,fail
Zexin Ma,"Health Communication, Narrative Persuasion, Media Psychology, Misinformation"
Jacob Gleason,fail
Nathan Lindquist,
Douglas Zytko,"consent, safety, sexual violence, online dating, human computer interaction"
Hisashi Kashima,"Machine Learning, Data Mining, Graphs and Networks, Human Computation, Human-in-the-loop AI"
Koji Maruhashi,"Data mining, Artificial intelligence"
Tomoyoshi Takebayashi,fail
Arseny Tolmachev,"Natural Language Processing, Second Language Learning"
Luu Huu Phuc,fail
Seiji Okajima,
Koh Takeuchi,"Structure Biology, NMR spectroscopy, Protein Dynamics, Structural Modality Research, Structure Guided Drug Development"
Boris Naujoks,"Evolutionary Algorithms, Multiobjective Optimization"
Agrim Dewan,Algebraic complexity theory
Poojith U Rao,Applied computing
ritu kapoor,
Iurii S. Nagornov,fail
Martin P. Seybold,"Computational Geometry, Data Structures, Randomization, Approximation"
Dorian Rudolph,fail
Milutin Brankovic,
Sheng (Shawn) ZHANG,
Christopher W Cleghorn, Machine Learning"
Navin Pai,"molecular biology, coagulation, thrombophilia, pharmacogenomics"
Patrizia Vitale,"Theoretical Physics, Mathematical Physics, Noncommutative Geometry"
